Ville,Lieu,Adresse,Téléphone,Email,Site Web,Pourquoi les contacter,Angle d'intervention recommandé
Hong Kong,Alliance Française HK – Centre Wan Chai,"1&2/F, 123 Hennessy Road, Wan Chai",+852 2527 7825,wanchai@afhongkong.org,afhongkong.org,"Partenaire naturel n°1 : organise conférences, ateliers, French May. Public francophone et sinophone cultivé.","Fake News & Esprit Critique, Ateliers d'écriture, Rhétorique – format conférence grand public ou atelier"
Hong Kong,Alliance Française HK – Centre Jordan,"G/F-3/F, 52 Jordan Road, Kowloon",+852 2730 3257,jordan@afhongkong.org,afhongkong.org,"Deuxième centre AF, côté Kowloon – plus populaire, accès à une communauté différente.","Fake News & Esprit Critique, Piège des influenceurs – public mixte franco/sino"
Hong Kong,Alliance Française HK – Centre Sha Tin,"Rm 817-19, Grand Central Plaza, 138 Shatin Rural Committee Rd",+852 2634 0861,shatin@afhongkong.org,afhongkong.org,"Troisième centre AF, Nouveaux Territoires – dessert un public plus jeune et familial.","Ateliers d'écriture, Fake News pour ados"
Hong Kong,Consulat général de France – Service Culturel (SCAC),"18 Harcourt Road, Central",+852 3752 9900,informations.hong-kong-cslt@diplomatie.gouv.fr,hongkong.diplomatie.gouv.fr,"Finance et programme le French May (mai-juillet) + événements toute l'année. Peut financer votre venue et vous intégrer dans leur programmation officielle.","Toutes interventions – à contacter en priorité pour obtenir un soutien institutionnel et un budget"
Hong Kong,French May Arts Festival,c/o Consulat général de France,,via frenchmay.com/en/,frenchmay.com,"Festival phare franco-hongkongais (mai–juillet 2026, thème Re/naissance) : masterclasses, talks, ateliers devant des milliers de visiteurs.","Magie des histoires, Rhétorique, Fake News – format talk grand public dans un cadre festif"
Hong Kong,Lycée Français International Victor-Segalen,"165 Blue Pool Road, Happy Valley",+852 2577 6217,info@lfis.edu.hk,fis.edu.hk,"École française homologuée AEFE – lycée, collège, primaire. Public d'élèves français expatriés + élèves locaux bilingues. Exactement votre terrain habituel.","Fake News & Esprit Critique, Piège des influenceurs, Rhétorique, Formation enseignants – format lycée classique"
Hong Kong,French Chamber of Commerce (FCCIHK),"21/F On Hing Building, 1 On Hing Terrace, Central",+852 2523 6818,frencham@fccihk.com,fccihk.com,"200+ événements/an pour entreprises françaises et internationales. Forte demande de formations pratiques pour salariés.","Formation contre l'arnaque en ligne, Rhétorique & persuasion, Désinformation politique – format formation professionnelle"
Hong Kong,HKU – Journalism and Media Studies Centre (JMSC),"Eliot Hall, Pokfulam Road, HKU",+852 3917 1155,jmsc@hku.hk,jmsc.hku.hk,"LE hub académique sur fake news en Asie. Programme Beyond Fake News, projet Annie Lab (fact-checking), conférences publiques régulières. Prof. Masato Kajimoto = pair direct.","Fake News & Esprit Critique, Désinformation au-delà du fake news – format conférence académique ou guest lecture"
Hong Kong,Hang Seng University – Centre for Greater China Studies,"Hang Shin Link, Siu Lek Yuen, Shatin, N.T.",+852 3963 5000,contact@hsu.edu.hk,mfc.hsu.edu.hk,"Organisateurs d'une conférence internationale sur la désinformation. Actifs sur les thématiques misinformation/fake news.","Fake News & Esprit Critique, Désinformation – format intervention académique"
Hong Kong,CEFC – Centre d'études français sur la Chine contemporaine,"20/F Wanchai Central Building, 89 Lockhart Road, Wan Chai",+852 2876 6910,cefc@cefc.com.hk,cefc.com.hk,"Séminaires et colloques franco-hongkongais réguliers. Public de chercheurs et d'intellectuels francophones. Lien direct avec l'Ambassade de France.","Désinformation politique, Fake News dans le contexte géopolitique – format séminaire académique"
